ISO_lokal	MJD	UTC	CENT	CENT_status	DOOR	DOOR_status	BA	BA_status
2026-03-20T07:32:05	61119.272283	2026-03-20T06:32:05Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:32:07	61119.272309	2026-03-20T06:32:07Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:32:12	61119.272367	2026-03-20T06:32:12Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:32:17	61119.272425	2026-03-20T06:32:17Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:32:22	61119.272483	2026-03-20T06:32:22Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:32:27	61119.272541	2026-03-20T06:32:27Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:32:32	61119.272598	2026-03-20T06:32:32Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:32:37	61119.272656	2026-03-20T06:32:37Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:32:42	61119.272714	2026-03-20T06:32:42Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:32:47	61119.272772	2026-03-20T06:32:47Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:32:52	61119.272830	2026-03-20T06:32:52Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:32:57	61119.272888	2026-03-20T06:32:57Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:33:02	61119.272946	2026-03-20T06:33:02Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:33:07	61119.273003	2026-03-20T06:33:07Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:33:12	61119.273062	2026-03-20T06:33:12Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:33:17	61119.273119	2026-03-20T06:33:17Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:33:22	61119.273177	2026-03-20T06:33:22Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:33:27	61119.273235	2026-03-20T06:33:27Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:33:32	61119.273293	2026-03-20T06:33:32Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:33:37	61119.273351	2026-03-20T06:33:37Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:33:42	61119.273409	2026-03-20T06:33:42Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:33:47	61119.273466	2026-03-20T06:33:47Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:33:52	61119.273524	2026-03-20T06:33:52Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:33:57	61119.273582	2026-03-20T06:33:57Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:34:02	61119.273640	2026-03-20T06:34:02Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:34:07	61119.273698	2026-03-20T06:34:07Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:34:12	61119.273756	2026-03-20T06:34:12Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:34:17	61119.273814	2026-03-20T06:34:17Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:34:22	61119.273872	2026-03-20T06:34:22Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:34:27	61119.273929	2026-03-20T06:34:27Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:34:32	61119.273987	2026-03-20T06:34:32Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:34:37	61119.274045	2026-03-20T06:34:37Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:34:42	61119.274103	2026-03-20T06:34:42Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:34:47	61119.274161	2026-03-20T06:34:47Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:34:52	61119.274219	2026-03-20T06:34:52Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:34:57	61119.274277	2026-03-20T06:34:57Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:35:02	61119.274334	2026-03-20T06:35:02Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:35:07	61119.274393	2026-03-20T06:35:07Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:35:12	61119.274450	2026-03-20T06:35:12Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:35:17	61119.274508	2026-03-20T06:35:17Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:35:22	61119.274566	2026-03-20T06:35:22Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:35:27	61119.274624	2026-03-20T06:35:27Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
