ISO_lokal	MJD	UTC	CENT	CENT_status	CENT_kal	DOOR	DOOR_status	DOOR_kal	BA	BA_status	BA_kal
2026-03-22T00:00:02	61120.958367	2026-03-21T23:00:02Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:00:07	61120.958425	2026-03-21T23:00:07Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:00:12	61120.958483	2026-03-21T23:00:12Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:00:17	61120.958541	2026-03-21T23:00:17Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:00:22	61120.958599	2026-03-21T23:00:22Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:00:27	61120.958657	2026-03-21T23:00:27Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:00:32	61120.958715	2026-03-21T23:00:32Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:00:37	61120.958773	2026-03-21T23:00:37Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:00:42	61120.958831	2026-03-21T23:00:42Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:00:47	61120.958889	2026-03-21T23:00:47Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:00:52	61120.958946	2026-03-21T23:00:52Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:00:57	61120.959004	2026-03-21T23:00:57Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:01:02	61120.959062	2026-03-21T23:01:02Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:01:07	61120.959120	2026-03-21T23:01:07Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:01:12	61120.959178	2026-03-21T23:01:12Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:01:17	61120.959235	2026-03-21T23:01:17Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:01:22	61120.959293	2026-03-21T23:01:22Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
