ISO_lokal	MJD	UTC	Kryo 1 In	Kryo 1 In_ohm	Kryo 1	Kryo 1_ohm	Kryo 1b	Kryo 1b_ohm	Peltier	Peltier_ohm	Peltier b	Peltier b_ohm	Kryo 2 In	Kryo 2 In_ohm	Kryo 2	Kryo 2_ohm	Kryo 2b	Kryo 2b_ohm	Kryo 3 In	Kryo 3 In_ohm	Kryo 3	Kryo 3_ohm	Kryo 3b	Kryo 3b_ohm	Kryo 4 In	Kryo 4 In_ohm	Kryo 4	Kryo 4_ohm	Kryo 4b	Kryo 4b_ohm	Kryo 5 In	Kryo 5 In_ohm	Kryo 5	Kryo 5_ohm	Kryo 5b	Kryo 5b_ohm	Kryo 6 In	Kryo 6 In_ohm	Kryo 6	Kryo 6_ohm	Kryo 6b	Kryo 6b_ohm	Kryo 7 In	Kryo 7 In_ohm	Kryo 7	Kryo 7_ohm	Kryo 9	Kryo 9_ohm	Kryo 9b	Kryo 9b_ohm	Kryo 8 In	Kryo 8 In_ohm	Kryo 8	Kryo 8_ohm
2026-03-26T00:00:02	61124.958367	2026-03-25T23:00:02Z	31.844	2.328	33.334	2.952	33.112	2.858	NaN	500.044	NaN	499.966	32.304	2.520	34.474	3.429	34.136	3.287	42.753	6.888	49.839	9.843	50.300	10.036	25.650	-0.268	NaN	500.030	NaN	500.014	39.145	5.382	40.689	6.026	40.823	6.083	NaN	500.090	39.181	5.397	39.364	5.473	296.122	108.948	295.339	108.644	NaN	500.189	NaN	500.044	296.882	109.243	295.791	108.819
2026-03-26T00:00:07	61124.958425	2026-03-25T23:00:07Z	31.851	2.331	33.344	2.956	33.113	2.859	NaN	500.044	NaN	499.966	32.309	2.522	34.451	3.419	34.122	3.281	42.752	6.888	49.841	9.844	50.310	10.040	25.705	-0.245	NaN	500.030	NaN	500.014	39.161	5.388	40.694	6.029	40.820	6.081	NaN	500.090	39.161	5.388	39.346	5.466	296.123	108.948	295.342	108.645	NaN	500.189	NaN	500.044	296.861	109.234	295.793	108.820
2026-03-26T00:00:12	61124.958483	2026-03-25T23:00:12Z	31.846	2.329	33.344	2.956	33.106	2.856	NaN	500.044	NaN	499.966	32.305	2.520	34.475	3.429	34.147	3.292	42.755	6.889	49.842	9.845	50.272	10.024	25.765	-0.220	NaN	500.030	NaN	500.014	39.141	5.380	40.720	6.039	40.827	6.084	NaN	500.090	39.169	5.392	39.357	5.470	296.089	108.935	295.344	108.646	NaN	500.189	NaN	500.044	296.880	109.242	295.813	108.828
2026-03-26T00:00:17	61124.958541	2026-03-25T23:00:17Z	31.840	2.326	33.342	2.955	33.115	2.860	NaN	500.044	NaN	499.966	32.289	2.514	34.463	3.424	34.115	3.278	42.737	6.882	49.828	9.839	50.297	10.034	25.834	-0.191	NaN	500.030	NaN	500.014	39.140	5.379	40.699	6.031	40.820	6.081	NaN	500.090	39.171	5.392	39.358	5.470	296.113	108.944	295.342	108.645	NaN	500.189	NaN	500.044	296.888	109.245	295.792	108.819
2026-03-26T00:00:22	61124.958599	2026-03-25T23:00:22Z	31.838	2.325	33.317	2.944	33.128	2.865	NaN	500.044	NaN	499.966	32.304	2.520	34.474	3.428	34.138	3.288	42.736	6.881	49.843	9.845	50.324	10.046	25.895	-0.165	NaN	500.030	NaN	500.014	39.168	5.391	40.701	6.032	40.804	6.074	NaN	500.090	39.176	5.394	39.369	5.475	296.102	108.940	295.329	108.640	NaN	500.189	NaN	500.044	296.867	109.237	295.813	108.828
2026-03-26T00:00:27	61124.958656	2026-03-25T23:00:27Z	31.843	2.327	33.339	2.954	33.126	2.864	NaN	500.044	NaN	499.966	32.306	2.521	34.474	3.428	34.149	3.293	42.734	6.881	49.847	9.847	50.312	10.041	25.609	-0.285	NaN	500.030	NaN	500.014	39.143	5.381	40.706	6.034	40.840	6.090	NaN	500.090	39.191	5.401	39.373	5.477	296.102	108.940	295.345	108.646	NaN	500.189	NaN	500.044	296.863	109.235	295.782	108.816
2026-03-26T00:00:32	61124.958714	2026-03-25T23:00:32Z	31.853	2.332	33.339	2.954	33.093	2.850	NaN	500.044	NaN	499.966	32.312	2.524	34.464	3.424	34.151	3.293	42.768	6.895	49.871	9.857	50.311	10.040	25.493	-0.334	NaN	500.030	NaN	500.014	39.143	5.381	40.706	6.034	40.836	6.088	NaN	500.090	39.188	5.400	39.387	5.483	296.111	108.943	295.348	108.647	NaN	500.189	NaN	500.044	296.878	109.241	295.787	108.818
2026-03-26T00:00:37	61124.958772	2026-03-25T23:00:37Z	31.849	2.330	33.335	2.952	33.137	2.869	NaN	500.044	NaN	499.966	32.308	2.522	34.465	3.425	34.128	3.284	42.754	6.889	49.852	9.849	50.316	10.042	25.476	-0.341	NaN	500.030	NaN	500.014	39.138	5.379	40.701	6.031	40.815	6.079	NaN	500.090	39.183	5.397	39.367	5.474	296.116	108.945	295.322	108.637	NaN	500.189	NaN	500.044	296.867	109.237	295.794	108.820
2026-03-26T00:00:42	61124.958830	2026-03-25T23:00:42Z	31.844	2.328	33.346	2.957	33.128	2.865	NaN	500.044	NaN	499.966	32.295	2.516	34.469	3.426	34.134	3.286	42.752	6.888	49.854	9.850	50.313	10.041	25.631	-0.276	NaN	500.030	NaN	500.014	39.160	5.388	40.703	6.032	40.825	6.083	NaN	500.090	39.199	5.404	39.382	5.480	296.119	108.947	295.321	108.637	NaN	500.189	NaN	500.044	296.870	109.238	295.797	108.822
2026-03-26T00:00:47	61124.958888	2026-03-25T23:00:47Z	31.858	2.334	33.353	2.959	33.141	2.871	NaN	500.044	NaN	499.966	32.311	2.523	34.467	3.426	34.128	3.284	42.770	6.895	49.862	9.853	50.325	10.046	25.691	-0.251	NaN	500.030	NaN	500.014	39.148	5.383	40.712	6.036	40.832	6.086	NaN	500.090	39.195	5.402	39.349	5.467	296.092	108.936	295.317	108.635	NaN	500.189	NaN	500.044	296.871	109.239	295.802	108.823
2026-03-26T00:00:52	61124.958946	2026-03-25T23:00:52Z	31.856	2.333	33.345	2.956	33.112	2.858	NaN	500.044	NaN	499.966	32.316	2.525	34.461	3.423	34.135	3.287	42.747	6.886	49.855	9.850	50.312	10.041	25.583	-0.296	NaN	500.030	NaN	500.014	39.166	5.390	40.727	6.042	40.850	6.094	NaN	500.090	39.180	5.396	39.375	5.478	296.101	108.940	295.332	108.641	NaN	500.189	NaN	500.044	296.869	109.238	295.800	108.823
2026-03-26T00:00:57	61124.959003	2026-03-25T23:00:57Z	31.854	2.332	33.348	2.957	33.122	2.863	NaN	500.044	NaN	499.966	32.293	2.515	34.472	3.428	34.146	3.291	42.755	6.889	49.863	9.854	50.324	10.046	25.614	-0.283	NaN	500.030	NaN	500.014	39.157	5.386	40.714	6.037	40.848	6.093	NaN	500.090	39.180	5.396	39.374	5.477	296.129	108.950	295.321	108.637	NaN	500.189	NaN	500.044	296.860	109.234	295.812	108.827
2026-03-26T00:01:02	61124.959061	2026-03-25T23:01:02Z	31.836	2.324	33.347	2.957	33.131	2.866	NaN	500.044	NaN	499.966	32.318	2.526	34.482	3.432	34.157	3.296	42.770	6.896	49.869	9.856	50.312	10.041	25.722	-0.238	NaN	500.030	NaN	500.014	39.146	5.382	40.724	6.041	40.826	6.084	NaN	500.090	39.181	5.397	39.380	5.480	296.093	108.937	295.332	108.641	NaN	500.189	NaN	500.044	296.868	109.237	295.803	108.824
2026-03-26T00:01:07	61124.959119	2026-03-25T23:01:07Z	31.864	2.336	33.341	2.955	33.129	2.866	NaN	500.044	NaN	499.966	32.307	2.522	34.483	3.432	34.149	3.292	42.760	6.891	49.860	9.852	50.339	10.052	25.599	-0.289	NaN	500.030	NaN	500.014	39.167	5.391	40.752	6.053	40.845	6.092	NaN	500.090	39.189	5.400	39.383	5.481	296.111	108.943	295.335	108.642	NaN	500.189	NaN	500.044	296.871	109.238	295.801	108.823
2026-03-26T00:01:12	61124.959177	2026-03-25T23:01:12Z	31.841	2.326	33.349	2.958	33.151	2.875	NaN	500.044	NaN	499.966	32.304	2.520	34.476	3.429	34.133	3.286	42.772	6.896	49.866	9.855	50.335	10.050	25.524	-0.321	NaN	500.030	NaN	500.014	39.175	5.394	40.721	6.040	40.850	6.094	NaN	500.090	39.194	5.402	39.391	5.484	296.097	108.938	295.344	108.646	NaN	500.189	NaN	500.044	296.869	109.238	295.788	108.818
2026-03-26T00:01:17	61124.959235	2026-03-25T23:01:17Z	31.845	2.328	33.349	2.958	33.122	2.863	NaN	500.044	NaN	499.966	32.300	2.519	34.478	3.430	34.143	3.290	42.765	6.894	49.890	9.865	50.338	10.051	25.608	-0.286	NaN	500.030	NaN	500.014	39.162	5.389	40.735	6.046	40.842	6.090	NaN	500.090	39.190	5.400	39.383	5.481	296.100	108.939	295.338	108.643	NaN	500.189	NaN	500.044	296.858	109.233	295.771	108.811
